sf,threads,repeat,scan_time_s,compute_time_s,build_time_s,stat_size_mb,compressed_size_mb,peak_mem_mb
sf0.1,1,1,3.202,0.969,4.171,229.94,62.14,5263.05
sf0.1,1,2,0.000,0.957,0.957,229.94,62.14,5263.05
sf0.1,1,3,0.000,0.979,0.979,229.94,62.14,5263.05
sf0.1,1,4,0.000,0.998,0.998,229.94,62.14,5263.05
sf0.1,1,5,0.000,0.962,0.962,229.94,62.14,5263.05
sf0.1,2,1,0.000,0.485,0.485,229.94,62.14,5263.05
sf0.1,2,2,0.000,0.410,0.410,229.94,62.14,5263.05
sf0.1,2,3,0.000,0.485,0.485,229.94,62.14,5263.05
sf0.1,2,4,0.000,0.421,0.421,229.94,62.14,5263.05
sf0.1,2,5,0.000,0.490,0.490,229.94,62.14,5263.05
sf0.1,4,1,0.000,0.229,0.229,229.94,62.14,5263.05
sf0.1,4,2,0.000,0.240,0.240,229.94,62.14,5263.05
sf0.1,4,3,0.000,0.241,0.241,229.94,62.14,5263.05
sf0.1,4,4,0.000,0.269,0.269,229.94,62.14,5263.05
sf0.1,4,5,0.000,0.260,0.260,229.94,62.14,5263.05
sf0.1,8,1,0.000,0.142,0.142,229.94,62.14,5263.05
sf0.1,8,2,0.000,0.149,0.149,229.94,62.14,5263.05
sf0.1,8,3,0.000,0.148,0.148,229.94,62.14,5263.05
sf0.1,8,4,0.000,0.145,0.145,229.94,62.14,5263.05
sf0.1,8,5,0.000,0.148,0.148,229.94,62.14,5263.05
sf0.1,12,1,0.000,0.123,0.123,229.94,62.14,5263.05
sf0.1,12,2,0.000,0.118,0.118,229.94,62.14,5263.05
sf0.1,12,3,0.000,0.129,0.129,229.94,62.14,5263.05
sf0.1,12,4,0.000,0.122,0.122,229.94,62.14,5263.05
sf0.1,12,5,0.000,0.120,0.120,229.94,62.14,5263.05
sf0.1,16,1,0.000,0.115,0.115,229.94,62.14,5263.05
sf0.1,16,2,0.000,0.119,0.119,229.94,62.14,5263.05
sf0.1,16,3,0.000,0.116,0.116,229.94,62.14,5263.05
sf0.1,16,4,0.000,0.114,0.114,229.94,62.14,5263.05
sf0.1,16,5,0.000,0.115,0.115,229.94,62.14,5263.05
sf0.1,24,1,0.000,0.131,0.131,229.94,62.14,5263.05
