sf,pattern,tool,cardinality,time_s,qerror
1,L1,truth,1662673006,1.31,1.00
1,L2,truth,216673831,0.49,1.00
1,L3,truth,5502799,0.21,1.00
1,L4,truth,1019467,2.79,1.00
1,L5,truth,706992,29.43,1.00
1,L6,truth,62418,51.67,1.00
1,L1_PA,truth,438799026,0.80,1.00
1,L2_PB,truth,1511619,0.53,1.00
1,L3_PB,truth,0,0.32,1.00
1,L4_PA,truth,251387,0.30,1.00
1,L5_PB,truth,0,2.85,1.00
1,L6_PA,truth,2422,0.60,1.00
1,L1,gcard,5675812864,0.001,3.41
1,L2,gcard,5349958144,0.023,24.69
1,L3,gcard,790429248,0.054,143.65
1,L4,gcard,2391707,0.126,2.35
1,L5,gcard,644285440,0.010,911.30
1,L1_PA,gcard,3471645367,12.959,7.91
1,L2_PB,gcard,1077938974,5.691,713.01
1,L3_PB,gcard,27,0.788,1.00
1,L4_PA,gcard,807779,92.985,3.21
1,L1,pathce,4834972697,0.001,2.91
1,L2,pathce,1570013963,0.005,7.25
1,L3,pathce,5502799,0.001,1.00
1,L4,pathce,1194196,0.015,1.17
1,L5,pathce,121473793,0.042,171.82
1,L6,pathce,2801462,0.054,44.88
1,L1,gcare-wj,1749904287,0.005,1.05
1,L2,gcare-wj,343068075,0.030,1.58
1,L3,gcare-wj,4425477,0.027,1.24
1,L4,gcare-wj,482121,0.039,2.11
1,L5,gcare-wj,0,0.004,inf
1,L6,gcare-wj,0,0.044,inf
1,L1,color,607194676,0.000,2.74
1,L2,color,4,0.000,54168457.75
1,L3,color,255687,0.000,21.52
1,L4,color,3034,0.000,336.01
1,L5,color,1,0.003,706992.00
1,L6,color,83,0.001,751.78
