sf,pattern_group,pattern,cardinality,sample_time_s,estimate_time_s,build_time_s,total_time_s
sf1,L1_path,L1,5674635264,0.000000,0.000334,0.000524,0.005
sf1,L1_path,L1_PA,3499267725,0.851647,0.000339,0.852151,0.856
sf1,L2_chain,L2,5349950464,0.000000,0.000493,0.018396,0.020
sf1,L2_chain,L2_PB,2404597433,0.966581,0.000221,0.983587,0.986
sf1,L3_star,L3,790427776,0.000000,0.000023,0.023232,0.024
sf1,L3_star,L3_PB,53,0.059356,0.000018,0.080351,0.082
sf1,L4_cycle,L4,2391707,0.000000,0.000037,0.052461,0.054
sf1,L4_cycle,L4_PA,1124389,0.786789,0.000063,0.859215,0.861
sf1,L5_triangle,L5,644285440,0.000000,0.000272,0.013225,0.015
sf1,L5_triangle,L5_PB,27,0.269187,0.000129,0.278764,0.280
sf1,L6_cycle_branch,L6,5224561,0.000000,0.000072,0.176603,0.178
sf1,L6_cycle_branch,L6_PA,574232,2.647394,0.000136,2.831905,2.833
